frame,count_raw,count_filtered,mean_flow
0,489,7,1.861157
1,304,10,1.515229
2,385,12,1.493522
3,339,14,1.428444
4,324,9,1.615357
5,414,10,1.583888
6,332,12,1.648939
7,300,11,1.865622
8,360,11,1.965488
9,306,8,1.861000
10,286,9,2.025678
11,341,8,2.148354
12,315,9,2.001290
13,299,8,1.954645
14,355,12,1.610969
15,268,10,1.918059
16,345,8,1.939183
17,339,11,1.634129
18,302,10,2.290464
19,311,8,3.245065
20,345,10,2.934116
21,278,9,3.315440
22,279,9,3.497366
23,349,13,2.592284
24,322,8,3.780707
25,309,10,3.364201
26,383,13,2.985360
27,304,9,3.851998
28,309,10,3.563031
29,375,13,2.820293
30,300,9,3.532465
31,366,9,3.552396
32,347,13,3.080056
33,303,8,5.132608
34,302,8,5.019439
35,303,10,4.092176
36,290,12,3.676535
37,310,11,4.100135
38,344,11,5.221653
39,329,11,4.016451
40,314,8,4.786960
41,380,13,4.663989
42,321,15,3.892774
43,305,11,3.881519
